Model_Names,RMSE_Train,RMSE_Test,R2_score_Train,R2_score_Test
XGBoost,0.06400855250395152,0.6689658004162297,0.9999560117721558,0.994870662689209
Ridge,1.4215271488485886,1.3578514155925334,0.978559861562832,0.9791108466844777
LR,1.4284673781309891,1.3789693234362803,0.9783564093899115,0.9784918131662663
RF,0.5446570838520587,1.6514198769347135,0.9967733704491764,0.9685976330701294
CART,0.0,1.9617607384197477,1.0,0.9556974658297654
KNN,1.8170197249291922,1.962979947102688,0.9658316227491146,0.9576531664057251
Lasso,4.958309586464064,4.380170480672338,0.7471657011521943,0.7900154730127444
ElasticNet,6.047254770398082,5.672197214260672,0.623410798053438,0.6481598992871336
