Model_Names,RMSE_Train,RMSE_Test,R2_score_Train,R2_score_Test,best_params
Ridge,1.4849622017035682,1.4754856396993996,0.9786315539833224,0.9790431757851124,{'alpha': 0.005}
Lasso,1.4844196518910402,1.4795806692788815,0.9785633633129369,0.9792717958698568,{'alpha': 0.005}
ENet,1.4920789539817012,1.4963893878694208,0.9783598084004401,0.9791869235997462,{'alpha': 0.005}
XGBoost,0.9242675501138381,1.6842208271762842,0.9980731010437012,0.9930828809738159,"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000}"
RF,2.0795169455189386,1.9416703353872051,0.9701466719289222,0.972936356678374,"{'max_depth': 15, 'max_features': 7, 'min_samples_split': 8, 'n_estimators': 500}"
KNN,2.3253420763703607,2.045660515929847,0.9696511728825933,0.9552124367854686,{'n_neighbors': 4}
CART,2.418851733027266,2.410729908639761,0.9415917873908108,0.9544929604268011,"{'max_leaf_nodes': 9, 'min_samples_split': 54}"
